name,price,image_url,product_url,gender,piece_type,subtype,fit,style,season,main_color,palette_tags
Nike Mens Dri-FIT Short Sleeve Polo Shirt,41.99,https://m.media-amazon.com/images/I/51OYS0EJwSL._AC_SX679_.jpg,https://amzn.to/41lHacl,male,top,polo shirt,regular,casual,summer,#000000,"['cool', 'dark']"
Nike Men's Bohemian,35.0,https://m.media-amazon.com/images/I/41nFOLI0XHL._AC_SX679_.jpg,https://amzn.to/41gyuE4,male,top,t-shirt,regular,sports,summer,#FFFFFF,"['light', 'cool']"
Nike Men's Training T-Shirt,28.99,https://m.media-amazon.com/images/I/51OaMjKlCpL._AC_SX679_.jpg,https://amzn.to/465gGhJ,male,top,t-shirt,regular,casual,summer,#5B2C8A,"['cool', 'dark']"
Nike Men's Dry Franchise Polo,32.99,https://m.media-amazon.com/images/I/51-nBYkQs3S._AC_SY879_.jpg,https://amzn.to/3UJjRoX,male,top,polo shirt,regular,casual,summer,#7BAFE8,"['cool', 'light']"
Sailwind Mens Henley Long/Short Sleeve T-Shirt Cotton Casual Shirt,19.99,https://m.media-amazon.com/images/I/81FvuZ7mo2L._AC_SY879_.jpg,https://amzn.to/45Arogg,male,top,henley t-shirt,regular,casual,summer,#5a5a5a,"['cool', 'dark']"
NITAGUT Mens Fashion Casual Front Placket Basic Long/Short Sleeve Henley T-Shirts,14.99,https://m.media-amazon.com/images/I/81HsZOdpbJL._AC_SX679_.jpg,https://amzn.to/4n42Emt,male,top,henley t-shirt,regular,casual,summer,#4a6157,"['cool', 'dark']"
KLIEGOU Men's T-Shirts - Premium Cotton Crew Neck Tees S - 4XL,24.99,https://m.media-amazon.com/images/I/81JY6XT8pGL._AC_SX679_.jpg,https://amzn.to/47coWOa,male,top,t-shirt,regular,casual,summer,#9B947F,"['warm', 'dark']"
Sailwind Mens Henley Shirts Short Sleeve Summer Casual Classic Cotton T Shirts Pocket Button Shirt,19.99,https://m.media-amazon.com/images/I/71w3ausb-GL._AC_SY879_.jpg,https://amzn.to/3JsNpVv,male,top,polo shirt,slim,casual,summer,#4a6a8c,"['cool', 'dark']"
Mens T-Shirts Short Sleeve Button Casual Stylish Basic Tees Work Striped Shirts Henley Summer Lightweight Stretch Top,19.99,https://m.media-amazon.com/images/I/61wWhxo-+4L._AC_SY879_.jpg,https://amzn.to/475Fnf4,male,top,polo shirt,slim,casual,summer,#000000,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirt,19.99,https://m.media-amazon.com/images/I/61oDNRuL4GL._AC_SX679_.jpg,https://amzn.to/4mwRjeM,male,top,henley t-shirt,regular,casual,summer,#1a1a1a,"['dark', 'cool']"
LOGEEYAR Men's Athletic Washed T-Shirts Basic Crew Neck Tees Tops Causal Distressed Cotton T Shirts for Men,23.98,https://m.media-amazon.com/images/I/61gkidVaPuL._AC_SX679_.jpg,https://amzn.to/3HJGbfk,male,top,t-shirt,slim,casual,summer,#d9c33a,"['warm', 'light']"
MAGCOMSEN Men's Henley Short Sleeve Shirt Cotton Lightweight 3 Button Tops Vintage Casual Summer Shirt Soft Fashion,24.98,https://m.media-amazon.com/images/I/81tuxIGgCTL._AC_SY879_.jpg,https://amzn.to/3HK0lWz,male,top,henley shirt,regular,casual,summer,#D9D9D9,"['cool', 'light']"
Mens Short Sleeve Shirts Casual Cotton Henley Shirts Slim Fit Summer Classic T-Shirts,24.99,https://m.media-amazon.com/images/I/61GjdoE+78L._AC_SX679_.jpg,https://amzn.to/4lEnUOf,male,top,henley t-shirt,slim,casual,summer,#000000,"['cool', 'dark']"
Wrangler Authentics Men's Short Sleeve Henley Tee,22.58,https://m.media-amazon.com/images/I/71BOOE2kbPL._AC_SY879_.jpg,https://amzn.to/3JN9YUR,male,top,henley t-shirt,regular,casual,summer,#4a6a8c,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirts,14.99,https://m.media-amazon.com/images/I/81tpGc13OgL._AC_SX679_.jpg,https://amzn.to/4n10mEt,male,top,henley t-shirt,regular,casual,summer,#5a7184,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirts,22.99,https://m.media-amazon.com/images/I/71+DPskCBOL._AC_SX679_.jpg,https://amzn.to/4mXzG7A,male,top,henley t-shirt,regular,casual,summer,#7B2B3A,"['warm', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirt,19.99,https://m.media-amazon.com/images/I/81NE5pIWIiL._AC_SX679_.jpg,https://amzn.to/4mQffcw,male,top,henley t-shirt,regular,casual,summer,#555555,"['cool', 'dark']"
PEGENO Men's Fashion Casual Front Placket Short Sleeve Henley T-Shirts Cotton Shirt,22.99,https://m.media-amazon.com/images/I/71UPMPif5hL._AC_SX679_.jpg,https://amzn.to/4fNvpRK,male,top,henley t-shirt,regular,casual,summer,#2c2c2c,"['cool', 'dark']"
COOFANDY Mens Henley Shirts Short Sleeve Casual Button Down Shirts Lightweight Summer Basic Tee,19.99,https://m.media-amazon.com/images/I/71inBew2lcL._AC_SY879_.jpg,https://amzn.to/4fUtrPC,male,top,henley t-shirt,regular,casual,summer,#1f3a72,"['cool', 'dark']"
Nautica Men's Classic Fit Pocket T-Shirt,16.5,https://m.media-amazon.com/images/I/51zAaw+HINL._AC_SY879_.jpg,https://amzn.to/45Ov3Wi,male,top,t-shirt,regular,casual,summer,#8de0f7,"['cool', 'light']"
Nautica Men's Classic Fit Pocket T-Shirt,17.99,https://m.media-amazon.com/images/I/71Cb6qownWL._AC_SY879_.jpg,https://amzn.to/4lLSDcz,male,top,t-shirt,regular,casual,summer,#C21807,"['warm', 'dark']"
Nautica Men's Classic Fit Pocket T-Shirt,17.99,https://m.media-amazon.com/images/I/71yn8hONA2L._AC_SY879_.jpg,https://amzn.to/4lGS43q,male,top,t-shirt,regular,casual,summer,#b9d9f2,"['cool', 'light']"
Under Armour Men's Global Foundation Short Sleeve T Shirt,19.99,https://m.media-amazon.com/images/I/51lKlr5JmLL._AC_SX679_.jpg,https://amzn.to/4lDKLtn,male,top,t-shirt,regular,casual,summer,#000000,"['dark', 'cool']"
Under Armour Men's Global Foundation Short Sleeve T Shirt,18.75,https://m.media-amazon.com/images/I/51B4StoLzML._AC_SX679_.jpg,https://amzn.to/4mWvQeO,male,top,t-shirt,regular,casual,summer,#3b1f1a,"['warm', 'dark']"
"Champion, Cotton Midweight Crewneck Tee, T-Shirt for Men, Script (Reg. Or Big & Tall)",17.99,https://m.media-amazon.com/images/I/71CilHbYUBL._AC_SX679_.jpg,https://amzn.to/45yq4ui,male,top,t-shirt,regular,casual,summer,#000000,"['dark', 'cool']"
"Champion, Cotton Midweight Crewneck Tee, T-Shirt for Men, Script (Reg. Or Big & Tall)",17.99,https://m.media-amazon.com/images/I/71NGFF7HiUL._AC_SX679_.jpg,https://amzn.to/41YlKSB,male,top,t-shirt,loose,casual,summer,#E31B23,"['warm', 'light']"
"Champion, Cotton Midweight Crewneck Tee, T-Shirt for Men, Script (Reg. Or Big & Tall)",18.75,https://m.media-amazon.com/images/I/71-aO14KVkL._AC_SX679_.jpg,https://amzn.to/4mAL1e0,male,top,t-shirt,regular,casual,summer,#2E4EB8,"['cool', 'dark']"
GAP Men's Everyday Soft Crewneck T-Shirt Tee,19.99,https://m.media-amazon.com/images/I/512FY2qtEzL._AC_SY879_.jpg,https://amzn.to/45T20Be,male,top,t-shirt,regular,casual,summer,#FFFFFF,"['light', 'cool']"
COOFANDY Men's T- Shirts Short Sleeve Knit Sweater Shirt Casual Crewneck Ribbed Pullover Tees,29.99,https://m.media-amazon.com/images/I/81491ax0vFL._AC_SY879_.jpg,https://amzn.to/4mOKLZb,male,top,knit short sleeve sweater,regular,casual,summer,#FFFFFF,"['light', 'cool']"
COOFANDY Men's T- Shirts Short Sleeve Knit Sweater Shirt Casual Crewneck Ribbed Pullover Tees,29.99,https://m.media-amazon.com/images/I/91QFVd36HXL._AC_SY879_.jpg,https://amzn.to/3Ju63w7,male,top,knit short sleeve sweater,regular,casual,spring,#6B8E23,"['warm', 'dark']"
COOFANDY Men's T- Shirts Short Sleeve Knit Sweater Shirt Casual Crewneck Ribbed Pullover Tees,29.99,https://m.media-amazon.com/images/I/81WLRnTBHBL._AC_SY879_.jpg,https://amzn.to/3Jo8D74,male,top,knit short sleeve sweater,regular,casual,spring,#b497d6,"['cool', 'light']"
Under Armour Men's Sportstyle Logo Short Sleeve T Shirt,18.97,https://m.media-amazon.com/images/I/41gTUMt3fWL._AC_SX679_.jpg,https://amzn.to/41YmUxr,male,top,t-shirt,regular,casual,summer,#9CA3AF,"['cool', 'light']"
Under Armour Men's Sportstyle Logo Short Sleeve T Shirt,18.97,https://m.media-amazon.com/images/I/51ZX1ZIh6nL._AC_SX679_.jpg,https://amzn.to/4lDLtqx,male,top,t-shirt,regular,casual,summer,#FFFFFF,"['cool', 'light']"
GAP Men's Everyday Soft Logo Tee,12.49,https://m.media-amazon.com/images/I/71V8+y9eLKL._AC_SY879_.jpg,https://amzn.to/4fQ63Tv,male,top,t-shirt,regular,casual,summer,#b0b0b0,"['cool', 'light']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,14.99,https://m.media-amazon.com/images/I/715DRHltG3L._AC_SY879_.jpg,https://amzn.to/45QuT0S,male,top,polo shirt,regular,casual,summer,#000000,"['cool', 'dark']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,19.99,https://m.media-amazon.com/images/I/81obpurGTcL._AC_SY879_.jpg,https://amzn.to/3VfiJtl,male,top,polo shirt,regular,casual,summer,#3b7dd8,"['cool', 'light']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,17.99,https://m.media-amazon.com/images/I/71XFEMl4skL._AC_SY879_.jpg,https://amzn.to/47IRAGD,male,top,polo shirt,regular,casual,spring,#4B5B2B,"['cool', 'dark']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,23.79,https://m.media-amazon.com/images/I/71Bcddl7Z+L._AC_SY879_.jpg,https://amzn.to/45TvU8s,male,top,polo shirt,regular,casual,summer,#0B3D66,"['cool', 'dark']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,22.6,https://m.media-amazon.com/images/I/71v2UKa3CUL._AC_SY879_.jpg,https://amzn.to/3JypvrA,male,top,polo shirt,regular,casual,summer,#2A4EBB,"['cool', 'light']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,19.99,https://m.media-amazon.com/images/I/71b2I1IcRZL._AC_SY879_.jpg,https://amzn.to/465KvPd,male,top,polo shirt,regular,casual,spring,#f0e6d2,"['warm', 'light']"
COOFANDY Men's Knit Polo Shirts Short Sleeve Striped Golf Polo Shirts Lightweight Casual Collared T Shirt,29.99,https://m.media-amazon.com/images/I/71MGwvKDvEL._AC_SY879_.jpg,https://amzn.to/45OrkbA,male,top,polo shirt,regular,casual,spring,#cbb89a,"['warm', 'light']"
Mens Straight-Fit Casual Stretch Chino Pants,24.6,https://m.media-amazon.com/images/I/71+lkTwwocL._AC_SX679_.jpg,https://amzn.to/4mUr4yw,male,bottom,pants,regular,casual,all,#000000,"['dark', 'cool']"
Men's Slim-Fit Casual Stretch Chino Pant,28.5,https://m.media-amazon.com/images/I/7123czEPRXL._AC_SX679_.jpg,https://amzn.to/45N59Cs,male,bottom,chinos,regular,casual,spring,#d6c6a1,"['warm', 'light']"
Dickies Men's 874 Flex Work Pants,24.98,https://m.media-amazon.com/images/I/61hnN2uqbOL._AC_SX679_.jpg,https://amzn.to/47jXf69,male,bottom,pants,regular,casual,all,#1a2433,"['cool', 'dark']"
Wrangler Authentics Men's Twill Relaxed Fit Cargo Pant,29.23,https://m.media-amazon.com/images/I/71+7ycpAvtL._AC_SY879_.jpg,https://amzn.to/4mBI5xR,male,bottom,cargo pants,regular,casual,all-season,#8B7D5E,"['warm', 'dark']"
Men's Classic Relaxed Fit Jean,14.98,https://m.media-amazon.com/images/I/71HVSFd9fyL._AC_SY879_.jpg,https://amzn.to/3HHtZvC,male,bottom,jeans,regular,casual,all,#3b5998,"['cool', 'dark']"
Lee Men's Extreme Motion Performance 5 Pocket Regular Straight Pant,20.0,https://m.media-amazon.com/images/I/61gRv75xW+L._AC_SY879_.jpg,https://amzn.to/41oAsCp,male,bottom,pants,regular,casual,all,#a9743a,"['warm', 'dark']"
Men's Athletic-Fit Stretch Jeans,19.5,https://m.media-amazon.com/images/I/81qIK780N4L._AC_SY879_.jpg,https://amzn.to/3VixN9H,male,bottom,jeans,slim,casual,all,#5a7dbf,"['cool', 'light']"
Pudolla Men's Cotton Yoga Sweatpants Athletic Lounge Pants Open Bottom Casual Jersey Pants for Men with Pockets,32.99,https://m.media-amazon.com/images/I/71GP3C3zHHL._AC_SX679_.jpg,https://amzn.to/4mZmVcy,male,bottom,sweatpants,regular,casual,all,#000000,"['dark', 'cool']"
Pudolla Men's Cotton Yoga Sweatpants Athletic Lounge Pants Open Bottom Casual Jersey Pants for Men with Pockets,32.99,https://m.media-amazon.com/images/I/81DmsKklvlL._AC_SX679_.jpg,https://amzn.to/3UI9mSW,male,bottom,pants,regular,casual,all,#2c2f34,"['dark', 'cool']"
Lee Men's Loose Fit Straight Leg Carpenter Jean,34.9,https://m.media-amazon.com/images/I/81aIcfcGW1L._AC_SX679_.jpg,https://amzn.to/4lJeAsA,male,bottom,jeans,regular,casual,all,#2a3f6a,"['cool', 'dark']"
Nike Club Men's Training Joggers,44.99,https://m.media-amazon.com/images/I/41bLzvqywYL._AC_SY741_.jpg,https://amzn.to/41oAJVX,male,bottom,joggers,regular,casual,fall,#1B2A5E,"['cool', 'dark']"
Nike Club Men's Training Joggers,53.49,https://m.media-amazon.com/images/I/51zHtqOMKRL._AC_SY741_.jpg,https://amzn.to/41nfl3c,male,bottom,joggers,regular,casual,fall,#3a3a3a,"['cool', 'dark']"
Nike Club Men's Training Joggers,54.78,https://m.media-amazon.com/images/I/41ysJSphK-L._AC_SY741_.jpg,https://amzn.to/45BjALc,male,bottom,joggers,regular,casual,fall,#6B1F2B,"['warm', 'dark']"
Nike Club Men's Training Joggers,51.99,https://m.media-amazon.com/images/I/51ZjsvdqGuL._AC_SY741_.jpg,https://amzn.to/45N6t8o,male,bottom,joggers,slim,casual,all,#0033cc,"['cool', 'dark']"
Lee Men's Extreme Motion Flat Front Slim Straight Pant,14.14,https://m.media-amazon.com/images/I/61qhZj5pnML._AC_SY741_.jpg,https://amzn.to/45VSwFm,male,bottom,pants,regular,casual,all,#6e7277,"['cool', 'dark']"
Lee Men's Extreme Motion Flat Front Slim Straight Pant,29.99,https://m.media-amazon.com/images/I/61BJJNzrJzL._AC_SY741_.jpg,https://amzn.to/3HROeqn,male,bottom,chinos,regular,casual,spring,#6B7B4C,"['cool', 'dark']"
Lee Men's Extreme Motion Flat Front Regular Straight Pant,18.6,https://m.media-amazon.com/images/I/71qGWcD0JBL._AC_SY741_.jpg,https://amzn.to/4lOPKYv,male,bottom,chinos,regular,casual,spring/fall,#a67c3d,"['warm', 'dark']"
Dickies Men's Relaxed-Fit Carpenter Jean,26.24,https://m.media-amazon.com/images/I/71PmEmJcLHL._AC_SX679_.jpg,https://amzn.to/3JwVWXp,male,bottom,jeans,regular,casual,all,#2a4a7a,"['cool', 'dark']"
Dickies Men's Relaxed-Fit Carpenter Jean,26.24,https://m.media-amazon.com/images/I/81k8QkdCW2L._AC_SX569_.jpg,https://amzn.to/45ZxNk6,male,bottom,jeans,loose,casual,all,#3a5f8a,"['cool', 'dark']"
Levi Strauss Signature Gold Men's Slim Fit Jeans,27.75,https://m.media-amazon.com/images/I/51jsgA+Y1ML._AC_SX679_.jpg,https://amzn.to/3JvAPot,male,bottom,jeans,regular,casual,all,#6b8dbd,"['cool', 'light']"
COOFANDY Mens Golf Pants Stretch Work Dress Pants Quick Dry Lightweight Pants Casual Slim Fit Slacks with Pockets,14.99,https://m.media-amazon.com/images/I/6166D6gbFCL._AC_SX569_.jpg,https://amzn.to/45zzDch,male,bottom,pants,regular,casual,spring,#2C2F48,"['cool', 'dark']"
COOFANDY Mens Golf Pants Stretch Work Dress Pants Quick Dry Lightweight Pants Casual Slim Fit Slacks with Pockets,14.99,https://m.media-amazon.com/images/I/61f3x2Coh0L._AC_SX569_.jpg,https://amzn.to/4mAHmgk,male,bottom,pants,regular,casual,spring,#B0B0B0,"['cool', 'light']"
COOFANDY Mens Golf Pants Stretch Work Dress Pants Quick Dry Lightweight Pants Casual Slim Fit Slacks with Pockets,14.99,https://m.media-amazon.com/images/I/61LZrb5yH5L._AC_SX569_.jpg,https://amzn.to/4mzG1Xa,male,bottom,pants,regular,casual,spring,#6B6E3F,"['warm', 'dark']"
Men's Relaxed-Fit Carpenter Utility Pant with Tool Pockets,22.32,https://m.media-amazon.com/images/I/81Prep7uypL._AC_SX569_.jpg,https://amzn.to/4mYV24v,male,bottom,pants,regular,casual,all,#5A5A5F,"['cool', 'dark']"
Dickies Men's Original 874 Work Pants,22.49,https://m.media-amazon.com/images/I/61Hu+sdFnlL._AC_SX679_.jpg,https://amzn.to/4lMUTQH,male,bottom,chinos,regular,casual,spring,#c2b280,"['warm', 'light']"
Dickies Men's Original 874 Work Pants,22.49,https://m.media-amazon.com/images/I/61N7qODGOdL._AC_SX679_.jpg,https://amzn.to/4mJZ3tG,male,bottom,trousers,regular,casual,all,#000000,"['dark', 'cool']"
Dickies Men's Original 874 Work Pants,37.26,https://m.media-amazon.com/images/I/718AtB16ovL._AC_SX679_.jpg,https://amzn.to/45Bkmb4,male,bottom,pants,regular,casual,all,#555a5f,"['cool', 'dark']"
Dickies Men's Original 874 Work Pants,22.49,https://m.media-amazon.com/images/I/618uhaClzxL._AC_SX569_.jpg,https://amzn.to/4mxUgvl,male,bottom,pants,regular,casual,all,#223355,"['cool', 'dark']"
Dickies Men's Original 874 Work Pants,22.49,https://m.media-amazon.com/images/I/6114QzjbmML._AC_SX679_.jpg,https://amzn.to/3HMuPHs,male,bottom,trousers,regular,formal,all,#3B2A20,"['dark', 'warm']"
Dickies mens 873 Slim Fit Work Pants,22.49,https://m.media-amazon.com/images/I/619KoogUe+L._AC_SX679_.jpg,https://amzn.to/4fZGsrk,male,bottom,trousers,regular,casual,all,#2C3E50,"['cool', 'dark']"
Dickies mens 873 Slim Fit Work Pants,29.99,https://m.media-amazon.com/images/I/61O7FEzy1uL._AC_SX679_.jpg,https://amzn.to/421qVBf,male,bottom,cargo pants,regular,casual,all,#000000,"['dark', 'cool']"
Dickies mens 873 Slim Fit Work Pants,29.99,https://m.media-amazon.com/images/I/71P9yVsx5+L._AC_SX569_.jpg,https://amzn.to/3HOO0Ap,male,bottom,pants,regular,casual,all,#cbb78e,"['warm', 'light']"
Wrangler Authentics Men's Premium Relaxed Fit Straight Leg Cargo Pant,33.1,https://m.media-amazon.com/images/I/71vAx4LlTUL._AC_SY741_.jpg,https://amzn.to/3HQrcjB,male,bottom,cargo pants,regular,casual,all-season,#000000,"['dark', 'cool']"
ZAFUL Men's Parachute Sweatpants Y2k Baggy Track Pants Drawstring Wide Leg Casual Trousers Streetwear,32.99,https://m.media-amazon.com/images/I/61sSxxDCiKL._AC_SY741_.jpg,https://amzn.to/3VpC5vT,male,bottom,track pants,loose,casual,spring,#1a2a44,"['cool', 'dark']"
ZAFUL Men's Parachute Sweatpants Y2k Baggy Track Pants Drawstring Wide Leg Casual Trousers Streetwear,30.99,https://m.media-amazon.com/images/I/71rIMGpU0SL._AC_SY741_.jpg,https://amzn.to/47fb4mi,male,bottom,track pants,loose,casual,spring,#5a755d,"['cool', 'dark']"
ZAFUL Men's Parachute Sweatpants Y2k Baggy Track Pants Drawstring Wide Leg Casual Trousers Streetwear,29.99,https://m.media-amazon.com/images/I/719O6qhaErL._AC_SY741_.jpg,https://amzn.to/47aACRv,male,bottom,track pants,loose,casual,spring,#5CA0E0,"['cool', 'light']"
Wrangler Authentics Men's Classic 5-Pocket Regular Fit Flex Jean,31.77,https://m.media-amazon.com/images/I/71lqr18zk4L._AC_SY741_.jpg,https://amzn.to/4mDG9os,male,bottom,jeans,regular,casual,all,#2c4a70,"['cool', 'dark']"
